"About This Order:","About This Order:"
"Actions","Actions"
"Add Comment","Add Comment"
"Additional Information","Additional Information"
"Add New RMA","Add New RMA"
"Add Store Template","Add Store Template"
"Admin Notes","Admin Notes"
"Admin only","Admin only"
"Another RMA for this product:","Another RMA for this product:"
"All","All"
"Allow guests to request RMA","Allow guests to request RMA"
"Allow per-order item RMA","Allow per-order item RMA"
"Allow to request RMA after order completion, days <strong style=""color:red"">*</strong>","Allow to request RMA after order completion, days <strong style=""color:red"">*</strong>"
"All RMA","All RMA"
"Approved","Approved"
"Approvement Code:","Approvement Code:"
"Approvement Code","Approvement Code"
"Are you sure you want do this?","Are you sure you want do this?"
"Are you sure you would like to cancel this RMA?","Are you sure you would like to cancel this RMA?"
"Attachment","Attachment"
"AW RMA Base template for admin","AW RMA Base template for admin"
"AW RMA Base template for customer","AW RMA Base template for customer"
"Back","Back"
"Base template for admin","Base template for admin"
"Base template for customer","Base template for customer"
"Basic Request Information","Basic Request Information"
"Basic RMA Information","Basic RMA Information"
"Billing Address","Billing Address"
"Can't load comment","Can't load comment"
"Can't load order","Can't load order"
"Can't load RMA by given ID","Can't load RMA by given ID"
"Can't load RMA by specified ID","Can't load RMA by specified ID"
"Can't load RMA request","Can't load RMA request"
"Can't load status by given ID","Can't load status by given ID"
"Can't load type by given ID","Can't load type by given ID"
"Cancel","Cancel"
"City","City"
"Comment ID isn't specified","Comment ID isn't specified"
"Comment successfully added","Comment successfully added"
"Comment text can't be empty","Comment text can't be empty"
"Comment Text","Comment Text"
"Company","Company"
"Confirm Shipping","Confirm Shipping"
"""Confirm Shipping"" is required","""Confirm Shipping"" is required"
"Confirm Shipping popup text","Confirm Shipping popup text"
"Contact Information","Contact Information"
"Contacts","Contacts"
"Couldn't load order by given order ID","Couldn't load order by given order ID"
"Couldn't load order","Couldn't load order"
"Count","Count"
"Country","Country"
"Customer Address","Customer Address"
"Customer Email","Customer Email"
"Customer isn't owner of the given order","Customer isn't owner of the given order"
"Customer Name","Customer Name"
"Customer only","Customer only"
"Date:","Date:"
"Date","Date"
"Delete","Delete"
"Details","Details"
"Disable","Disable"
"Edit","Edit"
"Edit RMA Status","Edit RMA Status"
"Edit RMA Type","Edit RMA Type"
"E-mail","E-mail"
"Email sender","Email sender"
"Email templates","Email templates"
"Enabled","Enabled"
"Enable email notifications","Enable email notifications"
"Enable ""Print label"" option","Enable ""Print label"" option"
"External RMA ID isn't specified","External RMA ID isn't specified"
"External URL","External URL"
"Fax","Fax"
"File (","File ("
"First Name","First Name"
"Forbidden file extension","Forbidden file extension"
"Forbidden filename extensions for uploading","Forbidden filename extensions for uploading"
"General","General"
"Gift Message","Gift Message"
"Id","Id"
"ID:","ID:"
"ID","ID"
"Initiated at:","Initiated at:"
"Items Ordered","Items Ordered"
"Items RMA Requested for","Items RMA Requested for"
"Last Name","Last Name"
"Leave Comment","Leave Comment"
"Manage Statuses","Manage Statuses"
"Manage Types","Manage Types"
"Max attachment size, kb","Max attachment size, kb"
"Maximal allowed attachment size is","Maximal allowed attachment size is"
"Message","Message"
"Name","Name"
"New RMA request has been successfully added","New RMA request has been successfully added"
"New RMA Status","New RMA Status"
"New RMA Type","New RMA Type"
"No","No"
"No comments yet","No comments yet"
"No ID specified","No ID specified"
"No items for request specified","No items for request specified"
"No items requested","No items requested"
"No items selected","No items selected"
"No order selected","No order selected"
"No shipping information available","No shipping information available"
"Notes","Notes"
"Notification sent to administrator (leave blank not to send)","Notification sent to administrator (leave blank not to send)"
